"SUBS_KEY";"TARGET"
"802";"1"
"813";"1"
"814";"1"
"815";"0"
"825";"1"
"828";"0"
"840";"1"
"842";"0"
"844";"1"
"846";"1"
"848";"1"
"861";"1"
"862";"1"
"866";"1"
"870";"1"
"872";"1"
"874";"1"
"892";"1"
"895";"1"
"907";"1"
"911";"1"
"916";"1"
"925";"1"
"926";"1"
"927";"0"
"939";"1"
"945";"0"
"955";"1"
"960";"1"
"974";"1"
"976";"1"
"977";"1"
"978";"1"
"982";"0"
"989";"1"
"1000";"1"
"1005";"1"
"1010";"1"
"1017";"1"
"1018";"0"
"1020";"0"
"1022";"0"
"1025";"0"
"1026";"1"
"1030";"1"
"1035";"1"
"1041";"1"
"1044";"1"
"1045";"1"
"1050";"1"
"1055";"1"
"1060";"0"
"1064";"1"
"1067";"1"
"1072";"0"
"1105";"1"
"1119";"1"
"1122";"1"
"1135";"1"
"1138";"1"
"1150";"1"
"1152";"1"
"1160";"1"
"1162";"1"
"1168";"1"
"1172";"1"
"1176";"0"
"1180";"1"
"1183";"1"
"1194";"0"
"1199";"0"
"1206";"1"
"1207";"1"
"1213";"1"
"1215";"1"
"1220";"1"
"1224";"1"
"1229";"0"
"1231";"1"
"1232";"0"
"1235";"0"
"1245";"1"
"1253";"1"
"1256";"1"
"1263";"1"
"1269";"1"
"1270";"1"
"1272";"1"
"1279";"1"
"1281";"1"
"1284";"0"
"1292";"0"
"1295";"1"
"1296";"0"
"1302";"1"
"1307";"1"
"1308";"1"
"1316";"1"
"1320";"1"
"1327";"1"
"1333";"0"
"1335";"0"
"1336";"0"
"1338";"1"
"1340";"1"
"1343";"1"
"1348";"0"
"1359";"1"
"1363";"0"
"1367";"1"
"1368";"1"
"1372";"1"
"1379";"1"
"1387";"0"
"1389";"0"
"1396";"1"
"1406";"1"
"1413";"0"
"1414";"1"
"1415";"1"
"1426";"0"
"1429";"1"
"1438";"1"
"1441";"1"
"1443";"0"
"1449";"1"
"1451";"1"
"1453";"0"
"1455";"1"
"1459";"1"
"1460";"1"
"1461";"0"
"1464";"1"
"1466";"1"
"1467";"1"
"1478";"0"
"1492";"1"
"1496";"1"
"1500";"1"
"1510";"1"
"1516";"1"
"1519";"1"
"1531";"0"
"1541";"0"
"1543";"1"
"1544";"1"
"1565";"1"
"1577";"1"
"1578";"0"
"1579";"1"
"1585";"0"
"1587";"1"
"1591";"0"
"1592";"1"
"1593";"1"
"1597";"0"
"1599";"1"
"1600";"1"
"1601";"1"
"1607";"0"
"1608";"1"
"1612";"1"
"1617";"1"
"1620";"1"
"1625";"1"
"1632";"1"
"1634";"0"
"1640";"1"
"1653";"1"
"1655";"0"
"1661";"1"
"1669";"1"
"1670";"1"
"1671";"0"
"1681";"0"
"1689";"1"
"1692";"0"
"1694";"1"
"1695";"1"
"1699";"1"
"1700";"1"
"1701";"1"
"1708";"0"
"1714";"1"
"1715";"1"
"1717";"1"
"1718";"1"
"1727";"1"
"1731";"1"
"1737";"1"
"1738";"1"
"1740";"0"
"1742";"0"
"1752";"1"
"1758";"1"
"1760";"1"
"1761";"1"
"1764";"1"
"1772";"1"
"1775";"0"
"1781";"0"
"1783";"1"
"1788";"1"
"1790";"1"
"1792";"1"
"1793";"1"
