"SUBS_KEY";"TARGET"
"4";"0"
"9";"1"
"10";"0"
"24";"0"
"26";"0"
"28";"0"
"31";"0"
"33";"0"
"37";"0"
"39";"0"
"40";"0"
"55";"1"
"58";"0"
"60";"1"
"61";"1"
"62";"0"
"67";"1"
"76";"1"
"80";"0"
"81";"0"
"83";"1"
"88";"1"
"89";"0"
"104";"0"
"106";"0"
"109";"0"
"111";"1"
"117";"0"
"118";"0"
"121";"0"
"124";"0"
"127";"0"
"139";"0"
"148";"0"
"153";"0"
"158";"1"
"164";"0"
"166";"0"
"167";"0"
"171";"1"
"173";"1"
"177";"1"
"180";"0"
"186";"0"
"190";"0"
"196";"0"
"199";"0"
"207";"0"
"231";"0"
"235";"0"
"236";"0"
"237";"0"
"241";"1"
"248";"1"
"250";"0"
"260";"0"
"266";"0"
"272";"1"
"273";"1"
"275";"1"
"279";"0"
"282";"1"
"289";"0"
"291";"0"
"298";"0"
"299";"0"
"311";"1"
"312";"0"
"316";"1"
"323";"0"
"328";"0"
"331";"1"
"333";"0"
"340";"1"
"351";"0"
"357";"0"
"364";"0"
"372";"0"
"373";"1"
"374";"1"
"378";"1"
"390";"0"
"393";"0"
"396";"1"
"398";"0"
"400";"1"
"401";"0"
"403";"0"
"405";"0"
"408";"1"
"417";"0"
"420";"1"
"423";"1"
"425";"0"
"426";"0"
"428";"0"
"430";"0"
"443";"0"
"447";"0"
"448";"0"
"454";"0"
"459";"1"
"465";"0"
"473";"0"
"476";"0"
"479";"1"
"480";"1"
"481";"1"
"483";"0"
"495";"0"
"498";"1"
"499";"0"
"504";"1"
"513";"0"
"514";"0"
"527";"0"
"529";"0"
"536";"0"
"542";"0"
"544";"0"
"548";"0"
"554";"0"
"557";"0"
"558";"1"
"564";"0"
"565";"0"
"568";"0"
"571";"1"
"574";"1"
"577";"0"
"582";"0"
"586";"1"
"588";"0"
"591";"1"
"592";"1"
"593";"0"
"606";"1"
"607";"0"
"611";"1"
"613";"0"
"614";"0"
"617";"0"
"618";"1"
"619";"0"
"624";"0"
"626";"1"
"638";"0"
"642";"0"
"643";"1"
"645";"1"
"646";"0"
"648";"0"
"650";"0"
"651";"0"
"653";"0"
"655";"0"
"658";"0"
"659";"1"
"660";"0"
"662";"0"
"672";"1"
"674";"1"
"678";"1"
"680";"0"
"699";"0"
"703";"0"
"705";"0"
"709";"1"
"714";"0"
"717";"0"
"719";"0"
"721";"0"
"726";"0"
"729";"0"
"732";"1"
"734";"1"
"737";"0"
"741";"1"
"747";"0"
"750";"0"
"752";"0"
"759";"0"
"762";"1"
"764";"0"
"769";"0"
"775";"1"
"778";"1"
"779";"0"
"782";"0"
"787";"1"
"791";"1"
"795";"1"
"839";"0"
"843";"1"
"845";"0"
"849";"1"
"855";"1"
"857";"0"
"859";"1"
"867";"0"
"869";"0"
"871";"1"
"881";"0"
"883";"0"
"884";"1"
"889";"0"
"904";"0"
"905";"0"
"906";"1"
"918";"0"
"929";"0"
"932";"0"
"933";"0"
"934";"1"
"936";"0"
"937";"0"
"940";"0"
"946";"0"
"949";"0"
"952";"0"
"959";"1"
"966";"1"
"979";"0"
"981";"0"
"984";"0"
"995";"0"
"998";"0"
"999";"0"
"1001";"0"
"1004";"0"
"1006";"0"
"1009";"0"
"1012";"0"
"1014";"1"
"1016";"1"
"1019";"0"
"1021";"0"
"1023";"0"
"1027";"0"
"1033";"1"
"1034";"0"
"1037";"1"
"1039";"1"
"1043";"0"
"1046";"0"
"1065";"0"
"1069";"0"
"1077";"1"
"1078";"0"
"1088";"0"
"1099";"0"
"1101";"0"
"1104";"0"
"1108";"1"
"1110";"1"
"1112";"0"
"1124";"1"
"1140";"1"
"1149";"1"
"1153";"0"
"1154";"0"
"1165";"1"
"1174";"0"
"1177";"0"
"1179";"0"
"1188";"1"
"1195";"1"
"1201";"0"
"1209";"1"
"1212";"1"
"1219";"0"
"1225";"1"
"1227";"1"
"1228";"0"
"1236";"1"
"1238";"1"
"1242";"1"
"1244";"0"
"1262";"0"
"1264";"1"
"1267";"0"
"1283";"0"
"1287";"0"
"1309";"1"
"1310";"0"
"1317";"0"
"1318";"1"
"1319";"0"
"1323";"0"
"1324";"0"
"1326";"1"
"1334";"1"
"1341";"0"
"1345";"0"
"1346";"0"
"1351";"0"
"1361";"1"
"1362";"0"
"1364";"1"
"1375";"1"
"1383";"1"
"1392";"0"
"1393";"0"
"1409";"0"
"1420";"0"
"1425";"1"
"1433";"1"
"1440";"0"
"1452";"0"
"1456";"0"
"1457";"0"
"1463";"0"
"1465";"0"
"1468";"0"
"1480";"0"
"1481";"1"
"1485";"0"
"1494";"1"
"1497";"0"
"1514";"0"
"1517";"0"
"1520";"0"
"1540";"0"
"1546";"0"
"1550";"1"
"1576";"0"
"1596";"0"
"1616";"0"
"1619";"0"
"1627";"1"
"1630";"0"
"1631";"1"
"1637";"1"
"1639";"0"
"1641";"0"
"1642";"0"
"1644";"1"
"1646";"0"
"1648";"0"
"1649";"0"
"1650";"0"
"1654";"0"
"1659";"0"
"1660";"1"
"1665";"1"
"1668";"0"
"1672";"0"
"1674";"0"
"1675";"1"
"1678";"0"
"1683";"0"
"1685";"0"
"1687";"1"
"1693";"0"
"1704";"0"
"1705";"1"
"1712";"0"
"1719";"0"
"1728";"0"
"1744";"0"
"1746";"0"
"1747";"0"
"1748";"0"
"1750";"0"
"1756";"0"
"1762";"0"
"1763";"0"
"1766";"0"
"1770";"0"
"1771";"1"
"1777";"0"
"1778";"0"
"1787";"0"
"1788";"0"
"1799";"1"
"1802";"0"
"1808";"0"
"1809";"0"
"1811";"1"
"1813";"1"
"1815";"0"
"1820";"0"
"1825";"1"
"1834";"1"
"1836";"1"
"1838";"0"
"1842";"0"
"1843";"0"
"1844";"0"
"1856";"1"
"1858";"1"
"1860";"1"
"1864";"0"
"1866";"0"
"1867";"1"
"1871";"0"
"1872";"1"
"1875";"1"
"1876";"0"
"1880";"0"
"1882";"1"
"1891";"0"
"1893";"1"
"1900";"0"
"1901";"0"
"1902";"0"
"1905";"1"
"1906";"0"
"1911";"1"
"1918";"0"
"1921";"0"
"1942";"0"
"1945";"1"
"1948";"0"
"1950";"0"
"1951";"0"
"1959";"0"
"1971";"0"
"1982";"0"
"1987";"0"
"1992";"1"
"1994";"0"
"1998";"0"
"2002";"0"
"2013";"0"
"2019";"0"
"2020";"1"
"2026";"0"
"2031";"0"
"2045";"1"
"2052";"1"
"2059";"0"
"2063";"0"
"2076";"1"
"2078";"0"
"2079";"1"
"2080";"0"
"2081";"0"
"2123";"0"
"2129";"1"
"2138";"1"
"2150";"1"
"2153";"0"
"2156";"1"
"2158";"0"
"2159";"1"
"2168";"0"
"2171";"1"
"2174";"1"
"2199";"1"
"2203";"0"
"2204";"1"
"2207";"0"
"2217";"0"
"2220";"1"
"2225";"0"
"2231";"0"
"2232";"0"
"2236";"0"
"2247";"0"
"2248";"1"
"2253";"1"
"2259";"0"
"2262";"0"
"2266";"1"
"2267";"1"
"2269";"1"
"2270";"0"
"2282";"0"
"2285";"0"
"2286";"0"
"2294";"1"
"2295";"1"
"2296";"0"
"2299";"0"
"2305";"0"
"2313";"0"
"2314";"0"
"2319";"0"
"2323";"0"
"2326";"0"
"2329";"1"
"2331";"0"
"2336";"0"
"2340";"1"
"2341";"0"
"2349";"0"
"2350";"0"
"2356";"0"
"2365";"1"
"2370";"1"
"2374";"0"
"2376";"1"
"2379";"1"
"2381";"1"
"2391";"1"
"2392";"0"
"2395";"0"
"2397";"0"
"2398";"1"
"2400";"0"
"2401";"1"
"2402";"0"
"2403";"0"
"2405";"0"
"2409";"1"
"2410";"1"
"2412";"1"
"2413";"0"
"2417";"1"
"2419";"0"
"2423";"0"
"2430";"1"
"2433";"1"
"2435";"0"
"2438";"1"
"2439";"1"
"2444";"0"
"2450";"1"
"2452";"1"
"2455";"1"
"2456";"0"
"2457";"0"
"2459";"0"
"2467";"0"
"2472";"1"
"2473";"0"
"2479";"0"
"2481";"1"
"2487";"0"
"2490";"0"
"2496";"1"
"2505";"1"
"2510";"1"
"2511";"1"
"2513";"1"
"2520";"1"
"2530";"0"
"2532";"0"
"2537";"1"
"2541";"1"
"2564";"1"
"2565";"0"
"2569";"0"
"2571";"0"
"2572";"1"
"2577";"0"
"2579";"0"
"2583";"1"
"2589";"0"
"2593";"0"
"2600";"0"
"2601";"1"
"2603";"1"
"2604";"0"
"2606";"1"
"2611";"0"
"2616";"0"
"2624";"1"
"2628";"1"
"2629";"1"
"2630";"1"
"2632";"1"
"2633";"0"
"2635";"0"
"2637";"0"
"2640";"0"
"2641";"0"
"2642";"0"
"2648";"0"
"2650";"0"
"2662";"0"
"2664";"1"
"2673";"1"
"2682";"0"
"2685";"1"
"2691";"1"
"2692";"1"
"2694";"1"
"2701";"1"
"2703";"0"
"2704";"0"
"2706";"0"
"2707";"0"
"2708";"1"
"2711";"0"
"2712";"0"
"2713";"0"
"2718";"0"
"2727";"0"
"2734";"0"
"2737";"0"
"2741";"0"
"2743";"0"
"2745";"0"
"2747";"1"
"2750";"1"
"2751";"0"
"2752";"1"
"2756";"1"
"2757";"0"
"2758";"0"
"2760";"1"
"2763";"1"
"2768";"1"
"2769";"1"
"2772";"0"
"2773";"0"
"2786";"1"
"2790";"0"
"2796";"1"
"2805";"0"
"2806";"0"
"2807";"1"
"2808";"1"
"2812";"1"
"2813";"0"
"2818";"1"
"2823";"1"
"2849";"0"
"2856";"1"
"2857";"1"
"2870";"0"
"2874";"1"
"2879";"1"
"2887";"1"
"2890";"0"
"2892";"0"
"2895";"1"
"2896";"1"
"2898";"0"
"2910";"1"
"2912";"1"
"2916";"1"
"2917";"0"
"2918";"1"
"2919";"0"
"2921";"0"
"2923";"0"
"2927";"0"
"2928";"0"
"2936";"1"
"2938";"1"
"2939";"1"
"2947";"0"
"2952";"1"
"2965";"1"
"2967";"0"
"2970";"0"
"2975";"0"
"2978";"0"
"2980";"0"
"2984";"1"
"2989";"1"
"2990";"0"
"2993";"0"
"2999";"0"
"3010";"0"
"3017";"0"
"3020";"1"
"3035";"0"
"3036";"1"
"3039";"0"
"3041";"1"
"3043";"0"
"3045";"0"
"3051";"0"
"3062";"0"
"3072";"1"
"3076";"1"
"3082";"0"
"3083";"0"
"3086";"0"
"3097";"0"
"3100";"0"
"3112";"0"
"3113";"1"
"3124";"0"
"3125";"0"
"3126";"1"
"3131";"0"
"3132";"0"
"3134";"1"
"3138";"0"
"3141";"0"
"3145";"0"
"3153";"0"
"3159";"0"
"3160";"0"
"3175";"1"
"3184";"0"
"3201";"0"
"3209";"0"
"3213";"0"
"3214";"1"
"3218";"0"
"3223";"0"
"3224";"1"
"3228";"0"
"3230";"1"
"3232";"0"
"3245";"0"
"3249";"1"
"3256";"1"
"3275";"0"
"3277";"0"
"3279";"1"
"3280";"0"
"3282";"0"
"3285";"0"
"3298";"1"
"3299";"0"
"3305";"1"
"3308";"0"
"3309";"0"
"3313";"1"
"3315";"1"
"3323";"1"
"3329";"1"
"3339";"1"
"3342";"0"
"3346";"1"
"3355";"1"
"3357";"1"
"3358";"0"
"3359";"0"
"3382";"0"
"3396";"0"
"3421";"1"
"3429";"1"
"3435";"0"
"3437";"0"
"3439";"0"
"3444";"1"
"3446";"1"
"3457";"0"
"3473";"1"
"3476";"1"
"3479";"0"
"3492";"1"
"3503";"0"
"3512";"0"
"3516";"0"
"3529";"1"
"3530";"0"
"3536";"0"
"3539";"1"
"3541";"0"
"3543";"0"
"3544";"0"
"3552";"1"
"3564";"0"
"3565";"0"
"3573";"0"
"3575";"0"
"3577";"1"
"3582";"0"
"3593";"1"
"3602";"0"
"3608";"1"
"3619";"1"
"3620";"0"
"3623";"0"
"3624";"1"
"3628";"0"
"3638";"1"
"3646";"1"
"3649";"0"
"3652";"1"
"3666";"1"
"3670";"0"
"3676";"0"
"3681";"0"
"3689";"0"
"3691";"0"
"3710";"0"
"3711";"0"
"3713";"0"
"3723";"0"
"3731";"1"
"3740";"0"
"3742";"0"
"3743";"0"
"3755";"0"
"3761";"1"
"3771";"1"
"3778";"1"
"3782";"1"
"3786";"0"
"3788";"1"
"3789";"1"
"3791";"0"
"3798";"0"
"3800";"0"
"3801";"0"
"3802";"0"
"3808";"1"
"3809";"0"
"3816";"0"
"3821";"0"
"3823";"0"
"3825";"0"
"3827";"1"
"3830";"0"
"3833";"0"
"3834";"0"
"3842";"0"
"3856";"1"
"3858";"0"
"3863";"0"
"3868";"1"
"3869";"1"
"3872";"0"
"3875";"0"
"3878";"1"
"3887";"0"
"3888";"0"
"3892";"0"
"3895";"1"
"3896";"0"
"3900";"0"
"3901";"1"
"3910";"1"
"3912";"0"
"3913";"0"
"3914";"1"
"3916";"0"
"3918";"0"
"3923";"1"
"3926";"1"
"3944";"0"
"3973";"1"
"3994";"0"
"3995";"1"
"4005";"1"
"4006";"0"
"4010";"0"
"4015";"0"
"4016";"0"
"4025";"0"
"4028";"0"
"4052";"0"
"4063";"0"
"4089";"1"
"4113";"1"
"4119";"1"
"4120";"0"
"4121";"0"
"4125";"0"
"4137";"0"
"4139";"1"
"4140";"1"
"4150";"0"
"4154";"0"
"4156";"0"
"4164";"0"
"4171";"1"
"4181";"0"
"4182";"0"
"4187";"0"
"4189";"1"
"4191";"0"
"4203";"1"
"4208";"1"
"4215";"1"
"4230";"0"
"4237";"1"
"4249";"1"
"4260";"1"
"4263";"0"
"4274";"1"
"4276";"0"
"4285";"1"
"4286";"1"
"4292";"1"
"4324";"1"
"4325";"0"
"4330";"0"
"4331";"1"
"4344";"0"
"4346";"0"
"4355";"0"
"4365";"0"
"4373";"0"
"4381";"0"
"4387";"0"
"4388";"0"
"4391";"0"
"4397";"0"
"4399";"0"
"4404";"0"
"4408";"0"
"4410";"0"
"4416";"0"
"4422";"0"
"4432";"0"
"4435";"0"
"4446";"0"
"4450";"1"
"4457";"0"
"4463";"0"
"4467";"0"
"4469";"0"
"4470";"0"
"4471";"1"
"4479";"0"
"4485";"1"
"4487";"0"
"4490";"0"
"4491";"0"
"4492";"1"
"4493";"1"
"4494";"1"
"4505";"0"
"4508";"0"
"4518";"0"
"4530";"0"
"4538";"0"
"4541";"0"
"4543";"0"
"4544";"1"
"4546";"1"
"4549";"0"
"4551";"0"
"4556";"0"
"4560";"0"
"4561";"0"
"4563";"0"
"4564";"0"
"4570";"0"
"4572";"1"
"4576";"1"
"4582";"0"
"4585";"1"
"4586";"1"
"4587";"0"
"4589";"0"
"4592";"0"
"4594";"0"
"4599";"1"
"4601";"0"
"4603";"1"
"4604";"0"
"4606";"0"
"4608";"1"
"4609";"0"
"4611";"0"
"4615";"1"
"4620";"0"
"4624";"1"
"4633";"0"
"4639";"0"
"4641";"0"
"4645";"0"
"4648";"0"
"4652";"0"
"4653";"0"
"4666";"0"
"4675";"0"
"4676";"0"
"4678";"1"
"4679";"1"
"4680";"1"
"4684";"0"
"4685";"0"
"4689";"0"
"4699";"0"
"4706";"1"
"4716";"0"
"4723";"0"
"4729";"0"
"4730";"0"
"4732";"1"
"4742";"1"
"4746";"0"
"4751";"1"
"4759";"1"
"4765";"0"
"4766";"0"
"4767";"0"
"4775";"0"
"4776";"1"
"4779";"0"
"4780";"1"
"4782";"1"
"4786";"0"
"4790";"0"
"4791";"1"
"4794";"0"
"4796";"1"
"4802";"0"
"4806";"0"
"4812";"0"
"4815";"0"
"4826";"0"
"4829";"0"
"4837";"1"
"4847";"1"
"4855";"0"
"4861";"0"
"4862";"0"
"4879";"1"
"4881";"0"
"4891";"1"
"4896";"0"
"4908";"0"
"4922";"1"
"4944";"0"
"4956";"0"
"4969";"1"
"4974";"0"
"4978";"1"
"4979";"0"
"4987";"0"
"4988";"1"
"4993";"0"
"4994";"0"
"5000";"1"
"5007";"0"
"5013";"1"
"5016";"0"
"5027";"0"
"5028";"1"
"5029";"0"
"5037";"1"
"5057";"0"
"5068";"0"
"5069";"0"
"5071";"1"
"5074";"0"
"5075";"0"
"5082";"0"
"5083";"0"
"5087";"1"
"5099";"1"
"5100";"0"
"5102";"1"
"5103";"0"
"5106";"1"
"5109";"0"
"5110";"0"
"5111";"1"
"5115";"0"
"5117";"0"
"5122";"0"
"5133";"0"
"5134";"0"
"5138";"0"
"5144";"0"
"5145";"1"
"5147";"0"
"5148";"0"
"5156";"0"
"5158";"1"
