"SUBS_KEY";"TARGET"
"1";"1"
"2";"1"
"3";"1"
"5";"1"
"7";"0"
"8";"0"
"11";"1"
"12";"1"
"14";"1"
"15";"1"
"16";"1"
"17";"1"
"18";"1"
"21";"1"
"22";"1"
"25";"1"
"27";"1"
"29";"1"
"30";"1"
"32";"1"
"34";"1"
"35";"1"
"36";"1"
"41";"1"
"42";"1"
"43";"1"
"44";"1"
"45";"1"
"46";"0"
"47";"1"
"48";"0"
"49";"1"
"51";"1"
"52";"1"
"53";"1"
"54";"1"
"56";"1"
"57";"1"
"59";"1"
"65";"1"
"69";"1"
"71";"1"
"72";"0"
"73";"0"
"74";"1"
"77";"1"
"79";"1"
"82";"1"
"91";"1"
"93";"1"
"94";"1"
"95";"1"
"97";"1"
"98";"1"
"102";"1"
"103";"1"
"107";"1"
"108";"1"
"112";"0"
"113";"0"
"114";"1"
"116";"1"
"119";"1"
"120";"1"
"126";"1"
"129";"1"
"130";"1"
"131";"1"
"132";"1"
"133";"1"
"134";"1"
"135";"1"
"137";"1"
"140";"1"
"143";"1"
"144";"1"
"145";"1"
"146";"1"
"149";"1"
"150";"1"
"154";"1"
"155";"1"
"159";"1"
"160";"1"
"162";"0"
"163";"0"
"170";"1"
"174";"1"
"176";"1"
"178";"1"
"182";"1"
"185";"1"
"187";"1"
"188";"1"
"189";"1"
"191";"1"
"192";"1"
"194";"1"
"195";"1"
"197";"1"
"198";"1"
"200";"1"
"201";"1"
"202";"1"
"203";"1"
"204";"1"
"205";"1"
"206";"1"
"208";"1"
"209";"1"
"210";"1"
"211";"1"
"212";"1"
"214";"1"
"215";"1"
"216";"1"
"217";"1"
"219";"1"
"220";"1"
"221";"1"
"223";"1"
"224";"1"
"225";"1"
"227";"1"
"228";"1"
"229";"1"
"230";"1"
"232";"1"
"233";"1"
"234";"1"
"238";"1"
"239";"1"
"240";"1"
"242";"1"
"244";"1"
"246";"1"
"249";"1"
"252";"1"
"253";"0"
"255";"0"
"256";"0"
"257";"0"
"259";"1"
"262";"1"
"263";"1"
"269";"1"
"270";"1"
"271";"1"
"274";"1"
"277";"1"
"278";"1"
"283";"1"
"284";"1"
"287";"1"
"288";"1"
"290";"1"
"292";"1"
"293";"1"
"296";"1"
"300";"1"
"301";"1"
"302";"1"
"303";"1"
"307";"1"
"308";"1"
"310";"1"
"313";"1"
"314";"1"
"315";"1"
"317";"1"
"318";"1"
"319";"1"
"320";"1"
"321";"1"
"324";"1"
"325";"1"
"327";"1"
"329";"1"
"330";"0"
"332";"0"
"334";"0"
"335";"1"
"336";"0"
"337";"1"
"338";"1"
"339";"1"
"343";"1"
"344";"1"
"345";"0"
"346";"1"
"347";"1"
"348";"1"
"349";"1"
"350";"1"
"352";"0"
"355";"1"
"360";"1"
"362";"1"
"363";"1"
"366";"1"
"367";"1"
"368";"1"
"371";"1"
"377";"1"
"379";"1"
"380";"1"
"381";"1"
"383";"1"
"384";"1"
"388";"0"
"389";"1"
"391";"0"
"392";"1"
"394";"1"
"395";"1"
"397";"1"
"402";"1"
"407";"1"
"409";"1"
"410";"1"
"413";"1"
"414";"1"
"416";"1"
"418";"1"
"419";"1"
"420";"1"
"422";"1"
"424";"1"
"427";"0"
"429";"0"
"432";"1"
"434";"1"
"435";"1"
"440";"1"
"441";"1"
"444";"0"
"445";"0"
"449";"1"
"450";"1"
"451";"1"
"453";"1"
"455";"1"
"457";"1"
"458";"1"
"460";"1"
"461";"1"
"464";"1"
"466";"1"
"467";"1"
"469";"1"
"470";"1"
"471";"1"
"472";"1"
"474";"1"
"475";"1"
"477";"1"
"478";"1"
"482";"1"
"484";"1"
"485";"1"
"487";"1"
"488";"1"
"489";"1"
"491";"1"
"500";"1"
"501";"1"
"502";"1"
"503";"0"
"506";"0"
"507";"1"
"508";"1"
"509";"1"
"510";"1"
"515";"1"
"517";"1"
"518";"1"
"521";"1"
"523";"1"
"524";"0"
"525";"0"
"535";"1"
"537";"1"
"547";"1"
"549";"1"
"551";"1"
"552";"1"
"556";"1"
"560";"1"
"562";"1"
"566";"1"
"567";"1"
"569";"1"
"573";"1"
"580";"0"
"581";"1"
"583";"0"
"584";"1"
"585";"1"
"589";"1"
"590";"1"
"594";"1"
"602";"1"
"603";"1"
"604";"1"
"605";"1"
"608";"1"
"609";"1"
"616";"1"
"621";"1"
"622";"1"
"623";"1"
"625";"1"
"630";"1"
"631";"1"
"634";"0"
"635";"1"
"636";"0"
"637";"1"
"639";"1"
"641";"1"
"644";"1"
"647";"1"
"649";"0"
"652";"0"
"656";"1"
"657";"1"
"661";"1"
"664";"0"
"666";"1"
"667";"0"
"671";"1"
"673";"1"
"675";"1"
"677";"1"
"679";"1"
"682";"0"
"683";"1"
"684";"1"
"685";"0"
"687";"1"
"688";"1"
"689";"1"
